Species	Body_weight	Brain_weight_g	Neonate_brain_weight_g	Neocortex_mm^3	GI	Ventricle_mm^3	Maximum_lifespan_yrs	Age_at_first_breeding_F_mnths	Age_at_first_breeding_days	Female_sexual_maturity_days	Male_sexual_maturity_days	Gestation_days	Litter_size	Litters_per_year	Inter-litter_interval_days	Weaning_period_days	Weight_at_birth_g	Weight_at_weaning_g	Juvenility_primates_years	Juvenility_days	Max_home_range_ha	% Fruit and seeds	Activity_timing	Diet_breadth	Trophic_level	Population_group_size	Social_group_size	Adult_head_body_length_mm	Age_at_eye_opening_days	Altricial_precocial	Basal_metaboic_rate	Dispersal_age_days	Habitat_breadth	Social_system	Glia_neuron_ratio	Neuronal_denisty	Glial_cell_denisty	Neurogenic_period_days	Phylo_rank
Lama_glama_domesticus	107250,00	216,77	164,45	NA	2,70	NA	28,90	23,98	729,39	800	800	332	1,00	1,00	NA	152	9500,00	29000,00	NA	577,39	NA	NA	NA	2	1	8,00	NA	1595,10	NA	2	NA	NA	1	NA	NA	NA	NA	NA	69
Equus_burchelli	280000,00	520,50	NA	NA	2,94	NA	38,00	42,00	1277,50	900	900	365	1,00	0,60	556	395	32000,00	205000,00	NA	882,50	12007,00	NA	NA	3	1	5,10	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	70
Equus_caballus	367000,00	712,00	368,00	NA	2,80	NA	57,00	30,00	912,50	914	973	337	1,00	1,00	548	274	66100,00	NA	NA	638,50	1632,00	NA	2	1	1	NA	NA	NA	0,00	NA	NA	742,31	1	NA	NA	NA	NA	NA	71
Mustela_putorius	809,00	8,25	NA	NA	1,75	NA	11,10	NA	NA	312	322	42	7,50	1,50	140	63	9,50	NA	NA	NA	54,00	NA	1	1	3	NA	NA	358,92	29,08	1	847,80	70,00	1	1	NA	NA	NA	NA	72
Procyon_lotor	5916,25	40,02	4,80	NA	1,85	NA	21,00	NA	NA	365	365	64	3,44	1,00	365	91	88,75	1175,00	NA	NA	490,00	NA	2	6	2	NA	1,00	484,68	20,91	1	2096,43	317,49	2	1	0,78	104713,00	83176,00	NA	73
Zalophus_californianus	140000,00	363,00	180,00	NA	2,52	NA	35,70	52,47	1595,96	1095	1826	259	1,20	0,50	730	315	6000,00	25000,00	NA	1280,96	NA	NA	2	6	2	NA	NA	2018,97	0,00	2	NA	NA	2	NA	1,86	30903,00	57544,00	NA	74
Phoca_vitulina	115000,00	273,75	NA	NA	2,38	NA	47,60	36,00	1095,00	1095	1460	253	1,00	1,00	365	30	11000,00	23945,00	NA	1065,00	NA	NA	2	1	3	NA	NA	1611,75	0,00	2	32350,80	38,49	2	NA	NA	NA	NA	NA	75
Ursus_maritimus	340635,00	472,68	11,10	NA	2,04	NA	43,80	60,00	1825,00	1734	1734	235	1,71	0,40	750	303	641,00	27000,00	NA	1522,00	7727047,00	NA	3	3	2	1,00	1,00	1992,55	34,12	1	44346,00	820,99	1	1	2,19	44668,00	95499,00	NA	76
Canis_latrans	10750,00	86,24	NA	NA	1,80	NA	21,80	12,00	365,00	274	274	63	6,00	1,00	365	60	250,00	1517,00	NA	305,00	1991,00	NA	2	1	3	NA	2,10	872,39	11,94	1	10450,00	255,00	1	1	0,34	72444,00	25119,00	NA	77
Vulpes_vulpes	4634,40	45,63	3,82	NA	1,80	NA	31,20	9,82	298,69	304	304	53	4,94	1,00	365	48	104,52	1397,00	NA	250,69	351,00	NA	1	1	3	NA	3,00	627,12	14,01	1	2152,80	225,00	1	2	0,95	81283,00	77625,00	NA	78
